COMMON.NAME,SCIENTIFIC.NAME,GROUP,ESA.STATUS,IUCN.STATUS,YEAR,BYCATCH,UNIT,CV,FOOTNOTE.S.,REGION,FISHERY.TYPE,FISHERY,TOTAL.FISHERY.BYCATCH,TOTAL.FISHERY.LANDINGS,TOTAL.CATCH,FISHERY.BYCATCH.RATIO,OBSERVER.COVERAGE,MMPA Category
Striped marlin - Central Western Pacific,Kajikia audax,fish,,NT,2012,16049.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Skipjack tuna - Central Western Pacific,Katsuwonus pelamis,fish,,LC,2012,99875.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Pelagic puffer,Lagocephalus lagocephalus,fish,,LC,2012,304.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Opah - Pacific,Lampris guttatus,fish,,LC,2012,20331.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Escolar,Lepidocybium flavobrunneum,fish,,LC,2012,121161.6,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Crestfish,Lophotus lacepede,fish,,LC,2012,1945.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Blue marlin - Pacific,Makaira nigricans,fish,,VU,2012,129206.1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Manta,Manta birostris,fish,,VU,2012,2552,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Mantas and/or mobulas (unidentified),Mobula,fish,,,2012,1584,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Ocean sunfish,Mola mola,fish,,VU,2012,1847,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Black gemfish,Nesiarchus nasutus,fish,,LC,2012,143.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Hammerjaw,Omosudis lowii,fish,,LC,2012,200.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Bony fishes (unidentified),Osteichthyes,fish,,,2012,22.1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Blue shark - South Pacific,Prionace glauca,fish,,NT,2012,412766.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Roudi escolar,Promethichthys prometheus,fish,,LC,2012,26995.5,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Pelagic stingray,Pteroplatytrygon violacea,fish,,LC,2012,109876.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Slender mola,Ranzania laevis,fish,,LC,2012,29128,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Oilfish,Ruvettus pretiosus,fish,,LC,2012,8222.9,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Tunas,Scombridae,fish,,,2012,39779.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Black mackerel,Scombrolabrax heterolepis,fish,,LC,2012,21548.1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Great barracuda,Sphyraena barracuda,fish,,LC,2012,7431.7,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Hammerhead sharks,Sphyrna,fish,,,2012,201.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Rough pomfret,Taractes asper,fish,,not assessed,2012,21,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Knifetail pomfret,Taractes rubescens,fish,,LC,2012,293.6,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Sickle pomfret,Taractichthys steindachneri,fish,,not assessed,2012,7524.7,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Shortbill spearfish,Tetrapturus angustirostris,fish,,DD,2012,42029.7,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Albacore - South Pacific,Thunnus alalunga,fish,,NT,2012,59506.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Yellowfin tuna - Central Western Pacific,Thunnus albacares,fish,,NT,2012,46137.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Bigeye tuna - Pacific,Thunnus obesus,fish,,VU,2012,34437.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Tapertail ribbonfish,Trachipterus fukuzakii,fish,,not assessed,2012,1254,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Cottonmouth jacks (unidentified),Uraspis,fish,,,2012,18.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Swordfish,Xiphias gladius,fish,,LC,2012,4158.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Scalloped ribbonfish,Zu cristatus,fish,,LC,2012,35.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Wahoo - Pacific,Acanthocybium solandri,fish,,LC,2013,35594.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Longnose lancetfish,Alepisaurus ferox,fish,,LC,2013,24516.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Bigeye thresher,Alopias superciliosus,fish,,VU,2013,27129,POUND,NA,a,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Thresher sharks (unidentified),Alopiidae,fish,,,2013,1394,POUND,NA,a,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Razorback scabbardfish,Assurger anzac,fish,,not assessed,2013,291.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Brama pomfrets (unidentified),Bramidae,fish,,,2013,190.7,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Silky shark,Carcharhinus falciformis,fish,,NT,2013,30048.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Oceanic whitetip shark,Carcharhinus longimanus,fish,,VU,2013,11030.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Sharks (unidentified),Chondrichthyes,fish,,,2013,408.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Pompano dolphinfish,Coryphaena equiselis,fish,,LC,2013,1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Dolphinfish - Pacific,Coryphaena hippurus,fish,,LC,2013,8155.1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Driftfishes,Cubiceps,fish,,,2013,30.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Rainbow runner,Elagatis bipinnulata,fish,,LC,2013,22,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Brilliant pomfret,Eumegistus illustris,fish,,not assessed,2013,179.6,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Snake mackerel,Gempylus serpens,fish,,LC,2013,7883.9,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Billfishes,Istiophoridae,fish,,,2013,1287.1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Sailfish,Istiophorus platypterus,fish,,LC,2013,7631.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Makos,Isurus,fish,,,2013,1365.7,POUND,NA,d,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Shortfin mako,Isurus oxyrinchus,fish,,VU,2013,42764.3,POUND,NA,d,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Longfin mako,Isurus paucus,fish,,VU,2013,784.9,POUND,NA,d,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Striped marlin - Central Western Pacific,Kajikia audax,fish,,NT,2013,10481.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Skipjack tuna - Central Western Pacific,Katsuwonus pelamis,fish,,LC,2013,28944.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Opah - Pacific,Lampris guttatus,fish,,LC,2013,9153.1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Escolar,Lepidocybium flavobrunneum,fish,,LC,2013,81165.1,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Crestfish,Lophotus lacepede,fish,,LC,2013,1624.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Blue marlin - Pacific,Makaira nigricans,fish,,VU,2013,63365.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Manta,Manta birostris,fish,,VU,2013,704,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Sharptail mola,Masturus lanceolatus,fish,,LC,2013,660,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Mantas and/or mobulas (unidentified),Mobula,fish,,,2013,330,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Ocean sunfish,Mola mola,fish,,VU,2013,369.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Black gemfish,Nesiarchus nasutus,fish,,LC,2013,546.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Hammerjaw,Omosudis lowii,fish,,LC,2013,8.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Bony fishes (other),Osteichthyes,fish,,,2013,2.5,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Bony fishes (unidentified),Osteichthyes,fish,,,2013,29,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Blue shark - South Pacific,Prionace glauca,fish,,NT,2013,190896.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Roudi escolar,Promethichthys prometheus,fish,,LC,2013,30348.9,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Pelagic stingray,Pteroplatytrygon violacea,fish,,LC,2013,41137.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Rays (unidentified),Rajiformes,fish,,,2013,62.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Slender mola,Ranzania laevis,fish,,LC,2013,48257,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Oilfish,Ruvettus pretiosus,fish,,LC,2013,5582.9,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Tunas,Scombridae,fish,,,2013,20140,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Black mackerel,Scombrolabrax heterolepis,fish,,LC,2013,13455.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Great barracuda,Sphyraena barracuda,fish,,LC,2013,9504.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Knifetail pomfret,Taractes rubescens,fish,,LC,2013,103.2,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Sickle pomfret,Taractichthys steindachneri,fish,,not assessed,2013,6257.4,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Shortbill spearfish,Tetrapturus angustirostris,fish,,DD,2013,33068.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Albacore - South Pacific,Thunnus alalunga,fish,,NT,2013,34152.5,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Yellowfin tuna - Central Western Pacific,Thunnus albacares,fish,,NT,2013,41100.5,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Bigeye tuna - Pacific,Thunnus obesus,fish,,VU,2013,31775.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Tapertail ribbonfish,Trachipterus fukuzakii,fish,,not assessed,2013,1108.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Cottonmouth jacks (unidentified),Uraspis,fish,,,2013,6.7,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Swordfish,Xiphias gladius,fish,,LC,2013,3488.7,POUND,NA,,PI,longline,American Samoa Pelagic Longline,1256212.1,6244564,7500776.1,0.167477616,,II
Sailfish,Istiophorus platypterus,fish,,LC,2010,9061,POUND,NA,b,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
White marlin,Kajikia albida,fish,,VU,2010,32546.84,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Skipjack tuna,Katsuwonus pelamis,fish,,LC,2010,859.8,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Blue marlin,Makaira nigricans,fish,,VU,2010,66418.67,POUND,NA,b,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Blue shark,Prionace glauca,fish,,NT,2010,368449.76,POUND,NA,c,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Albacore,Thunnus alalunga,fish,,NT,2010,1918.02,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Yellowfin tuna,Thunnus albacares,fish,,NT,2010,24918.85,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Blackfin tuna,Thunnus atlanticus,fish,,LC,2010,4512.86,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Bigeye tuna,Thunnus obesus,fish,,VU,2010,26080.69,POUND,NA,b,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Bluefin tuna,Thunnus thynnus,fish,,EN,2010,329849.02,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Swordfish,Xiphias gladius,fish,,LC,2010,303408.98,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Coastal shark group 1 - South Atlantic,,fish,,,2010,32216.15,POUND,NA,b,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Coastal shark group 2 - South Atlantic,,fish,,,2010,66.14,POUND,NA,b,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1200306.78,3916146,5116452.78,0.234597451,10%,I
Sailfish - South Atlantic,Istiophorus platypterus,fish,,LC,2011,21858.8,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
White marlin - Atlantic,Kajikia albida,fish,,VU,2011,78757.8,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Skipjack tuna - South Atlantic,Katsuwonus pelamis,fish,,LC,2011,106750,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Blue marlin - Atlantic,Makaira nigricans,fish,,VU,2011,110398.6,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Blue shark - North Atlantic,Prionace glauca,fish,,NT,2011,450796.3,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Albacore - North Atlantic,Thunnus alalunga,fish,,NT,2011,62547,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Yellowfin tuna - Atlantic,Thunnus albacares,fish,,NT,2011,136104,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Blackfin tuna - South Atlantic,Thunnus atlanticus,fish,,LC,2011,37527,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Bigeye tuna - Atlantic,Thunnus obesus,fish,,VU,2011,43788,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Bluefin tuna - Western Atlantic,Thunnus thynnus,fish,,EN,2011,366480.6,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Swordfish - North Atlantic,Xiphias gladius,fish,,LC,2011,548430.1,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Coastal shark group 1 - South Atlantic,,fish,,,2011,131219,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Coastal shark group 2 - South Atlantic,,fish,,,2011,811,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,2095468.2,5641412,7736880.2,0.270841495,10%,I
Sailfish - South Atlantic,Istiophorus platypterus,fish,,LC,2012,40926.6,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
White marlin - Atlantic,Kajikia albida,fish,,VU,2012,32002.3,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Skipjack tuna - South Atlantic,Katsuwonus pelamis,fish,,LC,2012,23951,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Blue marlin - Atlantic,Makaira nigricans,fish,,VU,2012,83572.7,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Blue shark - North Atlantic,Prionace glauca,fish,,NT,2012,231983.3,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Albacore - North Atlantic,Thunnus alalunga,fish,,NT,2012,71403,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Yellowfin tuna - Atlantic,Thunnus albacares,fish,,NT,2012,183806,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Blackfin tuna - South Atlantic,Thunnus atlanticus,fish,,LC,2012,39709,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Bigeye tuna - Atlantic,Thunnus obesus,fish,,VU,2012,34099,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Bluefin tuna - Western Atlantic,Thunnus thynnus,fish,,EN,2012,453847.5,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Swordfish - North Atlantic,Xiphias gladius,fish,,LC,2012,455904.4,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Coastal shark group 1 - South Atlantic,,fish,,,2012,169379,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Coastal shark group 2 - South Atlantic,,fish,,,2012,1270,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1821853.8,7606257,9428110.8,0.193236359,10%,I
Sailfish - South Atlantic,Istiophorus platypterus,fish,,LC,2013,25066,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
White marlin - Atlantic,Kajikia albida,fish,,VU,2013,22160,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Skipjack tuna - South Atlantic,Katsuwonus pelamis,fish,,LC,2013,27475,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Blue marlin - Atlantic,Makaira nigricans,fish,,VU,2013,121598,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Blue shark - North Atlantic,Prionace glauca,fish,,NT,2013,218511,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Albacore - North Atlantic,Thunnus alalunga,fish,,NT,2013,82867,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Yellowfin tuna - Atlantic,Thunnus albacares,fish,,NT,2013,119235,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Blackfin tuna - South Atlantic,Thunnus atlanticus,fish,,LC,2013,38671,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Bigeye tuna - Atlantic,Thunnus obesus,fish,,VU,2013,35806,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Bluefin tuna - Western Atlantic,Thunnus thynnus,fish,,EN,2013,319685,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Swordfish - North Atlantic,Xiphias gladius,fish,,LC,2013,264184,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Coastal shark group 1 - South Atlantic,,fish,,,2013,96949,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
Coastal shark group 2 - South Atlantic,,fish,,,2013,1171,POUND,NA,,SE,longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,1373378,6159902,7533280,0.182308105,10%,I
